sku,primary_description,short_description,description_variant
CLO-0001,"Proudly represent CHR in your community! Enjoy our classic t-shirt collection in our CHR colors: black, shadow, gold, and lilac. We are excited to be featuring our logo on NEW Shaka Streetwear heavyweight tees, available in Lilac and Gold.

### Details

Black
• Solid black
• White screen printed graphic
• 100% cotton, regular weight tee by Gildan
• Sizes Available: S, M, L, XL, 2XL

Shadow
• Solid grey
• White screen printed graphic
• 100% cotton, regular weight tee by Gildan
• Sizes Available: S, M, L, XL, 2XL

Lilac
• Light purple; garment dyed
• Black screen printed graphic
• 100% cotton, heavy weight tee by Shaka Streetwear
• Sizes Available: S, M, L, XL

Gold
• Mustard yellow; garment dyed
• Black screen printed graphic
• 100% cotton, heavy weight tee by Shaka Streetwear
• Sizes Available: S, M, L, XL
",Proudly represent CHR in your community with our classic t-shirt collection,
CLO-0002,"CHR is proud to present our new long sleeve design, Desert Angels. This design was inspired by the name that’s been given to Lu and the CHR crew by our community. We couldn’t be more honored to be named a team of Desert Angels.

These long sleeve shirts feature the CHR Icon on the front, the poppy + syringe icon down each sleeve, and a proud Desert Angels on the back. Following our inspiration and personal style, we even sourced true Real Tree graphic shirts and had a special run screen printed with orange accents. Lu is pictured in a large cream; Jessi pictured in a small cream.

We hope you enjoy this design as much as we do.

### Details

Desert Angels Real Tree Long Sleeve
• Genuine Real Tree camouflage print
• Orange + white screen printed graphics
• 100% cotton, regular weight long sleeve by Joe’s USA
• Sizes Available: S, M, L, XL, 2XL

Desert Angels Cream Long Sleeve
• Off-white color; garment dyed
• Black screen printed graphics with small orange poppy accent on front
• 100% cotton, heavy weight long sleeve by Shaka Streetwear
• Sizes Available: S, M, L, XL, 2XL, 3XL","A design inspired by the name ""Desert Angels"" that’s been given to Lu and the CHR crew by our community",
CLO-0003,"Stay cozy in Cochise Harm Reduction Cropped Hoodies.

We are excited to be featuring these designs using heavy weight, cotton hoodies from Shaka Streetwear. We hope you enjoy these high quality hoodies as much as we do. Bronwen is pictured in an x-small cropped hoodie. 

### Details

Shadow
• Shadow (grey) cropped hoodie
• White screen printed graphic
• 100% cotton, heavy weight + garment dyed by Shaka Streetwear
• Sizes Available: XS, S, M, L, XL
",Stay cozy in Cochise Harm Reduction Cropped Hoodies ,
MER-0001,"Represent rural harm reduction with CHR stickers! These waterproof, 3x3, vinyl stickers will fit and stick anywhere you want to represent CHR!

### Details

Design Options
• CHR Icon with poppy in lilac on holographic paper
• CHR Icon with poppy in orange on white paper
• Artist rendition of CHR Icon ❤️CHR Botanical Poppy in white on black paper – custom design by Senna Flora

The botanical black and white poppy is a custom, hand drawn font and design by Senna Flora. We are so grateful to collaborate with our talented friend on this! Check out more of Senna’s work at https://remedyrisingprints.com","A 3×3"" waterproof vinyl sticker featuring the CHR icon, made to fit anywhere you want to represent",
MER-0002,"Represent rural harm reduction with CHR stickers! These waterproof, 6×2 vinyl stickers are ready for your water bottle, laptop, and bumper.

### Details

Design Options
• CHR Classic Logo in black on white paper 
• Desert Angels in white gothic font on black paper with faint white poppy + syringe background

Playfully named “Baby Bumper,” these stickers measure 6×2 inches and are a bit smaller than a standard 11×2 bumper sticker. See photos for scale details.","Playfully named “Baby Bumper,” this 6×2 inch sticker is small in size and big on CHR pride",
CHR-CLO-0001-BLK-LG,,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.
CHR-CLO-0001-BLK-MD,,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.
CHR-CLO-0001-BLK-SM,,,100% Cotton. Please note that Black and Shadow T-Shirts are lighter weight where the Lilac and Gold are heavy weight shirts.
CHR-CLO-0001-BLK-XL,,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.
CHR-CLO-0001-BLK-XXL,,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.
