sku,product_name,stock_qty,woo_stock,last_woo_order,last_sync_at,sync_trigger
CHR-CLO-0001,CHR Classic T-Shirt,,,,5/6/2026,
CHR-CLO-0002,Desert Angels Long Sleeves,,,,5/6/2026,
CHR-CLO-0003,CHR Cropped Hoodie,,,,5/6/2026,
CHR-MER-0001,CHR Sticker-Circle,,,,5/6/2026,
CHR-MER-0002,CHR Baby Bumper Sticker,,,,5/6/2026,
CHR-CLO-0001-BLK-SM,CHR Classic T-Shirt | black small,2,2,,5/6/2026,
CHR-CLO-0001-BLK-MD,CHR Classic T-Shirt | black medium,2,2,,5/6/2026,
CHR-CLO-0001-BLK-LG,CHR Classic T-Shirt | black large,1,1,,5/6/2026,
CHR-CLO-0001-BLK-XL,CHR Classic T-Shirt | black x-large,3,3,,5/6/2026,
CHR-CLO-0001-BLK-XXL,CHR Classic T-Shirt | black xx-large,0,0,,5/6/2026,
CHR-CLO-0001-GLD-SM,CHR Classic T-Shirt | gold small,7,7,,5/6/2026,
CHR-CLO-0001-GLD-MD,CHR Classic T-Shirt | gold medium,10,10,,5/6/2026,
CHR-CLO-0001-GLD-LG,CHR Classic T-Shirt | gold large,6,6,,5/6/2026,
CHR-CLO-0001-GLD-XL,CHR Classic T-Shirt | gold x-large,6,6,,5/6/2026,
CHR-CLO-0001-GLD-XXL,CHR Classic T-Shirt | gold xx-large,5,5,,5/6/2026,
CHR-CLO-0001-GLD-XXXL,CHR Classic T-Shirt | gold xxx-large,6,6,,5/6/2026,
CHR-CLO-0001-LLC-SM,CHR Classic T-Shirt | lilac small,7,7,,5/6/2026,
CHR-CLO-0001-LLC-MD,CHR Classic T-Shirt | lilac medium,7,7,,5/6/2026,
CHR-CLO-0001-LLC-LG,CHR Classic T-Shirt | lilac large,6,6,,5/6/2026,
CHR-CLO-0001-LLC-XL,CHR Classic T-Shirt | lilac x-large,6,6,,5/6/2026,
CHR-CLO-0001-LLC-XXL,CHR Classic T-Shirt | lilac xx-large,6,6,,5/6/2026,
CHR-CLO-0001-LLC-XXXL,CHR Classic T-Shirt | lilac xxx-large,6,6,,5/6/2026,
CHR-CLO-0001-SHW-SM,CHR Classic T-Shirt | shadow small,3,3,,5/6/2026,
CHR-CLO-0001-SHW-MD,CHR Classic T-Shirt | shadow medium,1,1,,5/6/2026,
CHR-CLO-0001-SHW-LG,CHR Classic T-Shirt | shadow large,3,3,,5/6/2026,
CHR-CLO-0001-SHW-XL,CHR Classic T-Shirt | shadow x-large,1,1,,5/6/2026,
CHR-CLO-0001-SHW-XXL,CHR Classic T-Shirt | shadow xx-large,0,0,,5/6/2026,
CHR-CLO-0002-CRM-SM,Desert Angels Long Sleeves | cream small,3,3,,5/6/2026,
CHR-CLO-0002-CRM-MD,Desert Angels Long Sleeves | cream medium,5,5,,5/6/2026,
CHR-CLO-0002-CRM-LG,Desert Angels Long Sleeves | cream large,3,3,,5/6/2026,
CHR-CLO-0002-CRM-XL,Desert Angels Long Sleeves | cream x-large,5,5,,5/6/2026,
CHR-CLO-0002-CRM-XXL,Desert Angels Long Sleeves | cream xx-large,4,4,,5/6/2026,
CHR-CLO-0002-CRM-XXXL,Desert Angels Long Sleeves | cream xxx-large,5,5,,5/6/2026,
CHR-CLO-0002-TREE-SM,Desert Angels Long Sleeves | real tree small,5,5,,5/6/2026,
CHR-CLO-0002-TREE-MD,Desert Angels Long Sleeves | real tree medium,3,3,,5/6/2026,
CHR-CLO-0002-TREE-LG,Desert Angels Long Sleeves | real tree large,1,1,,5/6/2026,
CHR-CLO-0002-TREE-XL,Desert Angels Long Sleeves | real tree x-large,4,4,,5/6/2026,
CHR-CLO-0002-TREE-XXL,Desert Angels Long Sleeves | real tree xx-large,4,4,,5/6/2026,
CHR-CLO-0002-TREE-XXXL,Desert Angels Long Sleeves | real tree xxx-large,0,0,,5/6/2026,
CHR-CLO-0003-DSHW-XS,CHR Cropped Hoodie | dark shadow x-small,4,4,,5/6/2026,
CHR-CLO-0003-DSHW-SM,CHR Cropped Hoodie | dark shadow small,1,1,,5/6/2026,
CHR-CLO-0003-DSHW-MD,CHR Cropped Hoodie | dark shadow medium,3,3,,5/6/2026,
CHR-CLO-0003-DSHW-LG,CHR Cropped Hoodie | dark shadow large,3,3,,5/6/2026,
CHR-CLO-0003-DSHW-XL,CHR Cropped Hoodie | dark shadow x-large,1,1,,5/6/2026,
CHR-MER-0001-WHT-ORP-3X3,"CHR Sticker-Circle (orange poppy) | white 3""",200,200,,5/6/2026,
CHR-MER-0001-HOL-PRPP-3X3,"CHR Sticker-Circle (purple poppy) | holographic 3""",199,199,,5/6/2026,
CHR-MER-0001-BLK-3X3,"CHR Sticker-Circle | black 3""",200,200,,5/6/2026,
CHR-MER-0002-WHT-6X2,"CHR Baby Bumper Sticker | white 6""x2""",50,50,,5/6/2026,
CHR-MER-0002-BLK-6X2,"CHR Baby Bumper Sticker | black 6""x2""",50,50,,5/6/2026,
