select_product,product_id,variant_id,woo_variant_id,sku,product_name,color,design,design_variant,size,dimensions,price_dollars,price_variant,price_cents,stock_qty,woo_stock,image_variant,description_variant,base_weight_oz,weight_oz_variant,row_id,last_woo_order,readable_name,variant_details
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-001,9591,CHR-CLO-0001-BLK-SM,CHR T-Shirt – Large Logo (solid),black,,,small,,$25.00,,"2,500",2,2,,100% Cotton. Please note that Black and Shadow T-Shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,5.2,7ba80639-92f2-4a28-bc72-31abd092cafd,,CHR Classic T-Shirt | black small,black small
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-002,9592,CHR-CLO-0001-BLK-MD,CHR T-Shirt – Large Logo (solid),black,,,medium,,$25.00,,"2,500",2,2,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,5.5,38845f78-fe25-4e90-b9de-bd64512e4f43,,CHR Classic T-Shirt | black medium,black medium
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-003,9593,CHR-CLO-0001-BLK-LG,CHR T-Shirt – Large Logo (solid),black,,,large,,$25.00,,"2,500",1,1,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,7,77291ffa-2572-4348-8377-02d5628344f5,,CHR Classic T-Shirt | black large,black large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-004,9594,CHR-CLO-0001-BLK-XL,CHR T-Shirt – Large Logo (solid),black,,,x-large,,$25.00,,"2,500",3,3,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,7,070b8325-689e-4c58-8ac7-99367fd54f4c,,CHR Classic T-Shirt | black x-large,black x-large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-005,9595,CHR-CLO-0001-BLK-XXL,CHR T-Shirt – Large Logo (solid),black,,,xx-large,,$25.00,,"2,500",0,0,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,,829ba2ae-5da4-47d1-b513-5e187518e9c5,,CHR Classic T-Shirt | black xx-large,black xx-large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-006,9596,CHR-CLO-0001-GLD-SM,CHR T-Shirt – Large Logo (solid),gold,,,small,,$25.00,,"2,500",7,7,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,7,e934958f-0b42-4dcf-bcc6-97bd792b033d,,CHR Classic T-Shirt | gold small,gold small
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-007,9597,CHR-CLO-0001-GLD-MD,CHR T-Shirt – Large Logo (solid),gold,,,medium,,$25.00,,"2,500",10,10,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,8.8,865bfb93-de6e-49d0-b8ad-f36d3ec39810,,CHR Classic T-Shirt | gold medium,gold medium
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-008,9598,CHR-CLO-0001-GLD-LG,CHR T-Shirt – Large Logo (solid),gold,,,large,,$25.00,,"2,500",6,6,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,10,19cd0b68-3108-4533-af9a-9c8b5d5e0c34,,CHR Classic T-Shirt | gold large,gold large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-009,9599,CHR-CLO-0001-GLD-XL,CHR T-Shirt – Large Logo (solid),gold,,,x-large,,$25.00,,"2,500",6,6,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,,afd4582e-e3a9-4c34-818a-1dde3ab5a78f,,CHR Classic T-Shirt | gold x-large,gold x-large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-010,10061,CHR-CLO-0001-GLD-XXL,CHR T-Shirt – Large Logo (solid),gold,,,xx-large,,$25.00,,"2,500",5,5,,,8,,,,CHR Classic T-Shirt | gold xx-large,gold xx-large
